id_comunidade,num_membros,lider_intermediario_interno
0,4549,tana.jones@enron.com
1,4199,jeff.dasovich@enron.com
2,2862,k..allen@enron.com
3,2811,kevin.hyatt@enron.com
4,2589,don.baughman@enron.com
5,1525,vince.kaminski@enron.com
6,1492,kenneth.lay@enron.com
7,1342,will.reed@techforall.org
8,1093,mday@gmssr.com
9,1089,kay.mann@enron.com
10,994,
11,920,
12,830,
13,716,
14,709,
15,471,
16,435,
17,349,
18,332,
19,309,
20,284,
21,220,
22,203,
23,202,
24,184,
25,173,
26,139,
27,124,
28,118,
29,115,
30,93,
31,92,
32,86,
33,75,
34,63,
35,61,
36,57,
37,55,
38,55,
39,50,
40,50,
41,42,
42,41,
43,37,
44,31,
45,30,
46,23,
47,23,
48,23,
49,22,
50,21,
51,20,
52,19,
53,19,
54,19,
55,18,
56,18,
57,18,
58,18,
59,17,
60,17,
61,17,
62,16,
63,16,
64,15,
65,15,
66,15,
67,15,
68,15,
69,14,
70,14,
71,14,
72,14,
73,14,
74,14,
75,14,
76,13,
77,13,
78,13,
79,13,
80,13,
81,13,
82,13,
83,13,
84,12,
85,12,
86,12,
87,12,
88,11,
89,11,
90,11,
91,11,
92,11,
93,11,
94,11,
95,11,
96,10,
97,10,
98,10,
99,10,
100,10,
101,10,
102,10,
103,10,
104,10,
105,10,
106,10,
107,9,
108,9,
109,9,
110,9,
111,9,
112,9,
113,9,
114,8,
115,8,
116,8,
117,8,
118,8,
119,8,
120,8,
121,8,
122,8,
123,8,
124,8,
125,8,
126,8,
127,7,
128,7,
129,7,
130,7,
131,7,
132,7,
133,7,
134,7,
135,7,
136,7,
137,7,
138,7,
139,7,
140,7,
141,7,
142,7,
143,7,
144,7,
145,7,
146,7,
147,6,
148,6,
149,6,
150,6,
151,6,
152,6,
153,6,
154,6,
155,6,
156,6,
157,6,
158,6,
159,6,
160,6,
161,6,
162,6,
163,6,
164,6,
165,6,
166,6,
167,6,
168,6,
169,6,
170,6,
171,6,
172,6,
173,6,
174,5,
175,5,
176,5,
177,5,
178,5,
179,5,
180,5,
181,5,
182,5,
183,5,
184,5,
185,5,
186,5,
187,5,
188,5,
189,5,
190,5,
191,5,
192,5,
193,5,
194,5,
195,5,
196,5,
197,5,
198,5,
199,5,
200,5,
201,5,
202,5,
203,5,
204,5,
205,5,
206,5,
207,5,
208,5,
209,5,
210,5,
211,5,
212,5,
213,5,
214,5,
215,5,
216,5,
217,5,
218,5,
219,5,
220,5,
221,5,
222,5,
223,5,
224,5,
225,5,
226,5,
227,4,
228,4,
229,4,
230,4,
231,4,
232,4,
233,4,
234,4,
235,4,
236,4,
237,4,
238,4,
239,4,
240,4,
241,4,
242,4,
243,4,
244,4,
245,4,
246,4,
247,4,
248,4,
249,4,
250,4,
251,4,
252,4,
253,4,
254,4,
255,4,
256,4,
257,4,
258,4,
259,4,
260,4,
261,4,
262,4,
263,4,
264,4,
265,4,
266,4,
267,4,
268,4,
269,4,
270,4,
271,4,
272,4,
273,4,
274,4,
275,4,
276,4,
277,4,
278,4,
279,4,
280,4,
281,4,
282,4,
283,4,
284,4,
285,4,
286,4,
287,4,
288,4,
289,4,
290,4,
291,4,
292,4,
293,4,
294,4,
295,4,
296,4,
297,4,
298,4,
299,4,
300,4,
301,4,
302,4,
303,4,
304,4,
305,4,
306,4,
307,4,
308,4,
309,4,
310,4,
311,4,
312,4,
313,4,
314,4,
315,4,
316,4,
317,4,
318,4,
319,4,
320,4,
321,4,
322,4,
323,4,
324,4,
325,4,
326,4,
327,4,
328,4,
329,4,
330,4,
331,4,
332,4,
333,4,
334,4,
335,4,
336,4,
337,4,
338,4,
339,4,
340,4,
341,4,
342,4,
343,4,
344,4,
345,4,
346,4,
347,4,
348,4,
349,4,
350,4,
351,4,
352,4,
353,4,
354,4,
355,4,
356,4,
357,4,
358,4,
359,4,
360,4,
361,4,
362,4,
363,4,
364,4,
365,4,
366,4,
367,4,
368,4,
369,4,
370,4,
371,4,
372,4,
373,4,
374,4,
375,4,
376,4,
377,4,
378,4,
379,4,
380,4,
381,4,
382,4,
383,4,
384,4,
385,4,
386,4,
387,4,
388,4,
389,4,
390,4,
391,4,
392,4,
393,4,
394,4,
395,4,
396,4,
397,4,
398,4,
399,4,
400,4,
401,4,
402,4,
403,4,
404,4,
405,4,
406,4,
407,3,
408,3,
409,3,
410,3,
411,3,
412,3,
413,3,
414,3,
415,3,
416,3,
417,3,
418,3,
419,3,
420,3,
421,3,
422,3,
423,3,
424,3,
425,3,
426,3,
427,3,
428,3,
429,3,
430,3,
431,3,
432,3,
433,3,
434,3,
435,3,
436,3,
437,3,
438,3,
439,3,
440,3,
441,3,
442,3,
443,3,
444,3,
445,3,
446,3,
447,3,
448,3,
449,3,
450,3,
451,3,
452,3,
453,3,
454,3,
455,3,
456,3,
457,3,
458,3,
459,3,
460,3,
461,3,
462,3,
463,3,
464,3,
465,3,
466,3,
467,3,
468,3,
469,3,
470,3,
471,3,
472,3,
473,3,
474,3,
475,3,
476,3,
477,3,
478,3,
479,3,
480,3,
481,3,
482,3,
483,3,
484,3,
485,3,
486,3,
487,3,
488,3,
489,3,
490,3,
491,3,
492,3,
493,3,
494,3,
495,3,
496,3,
497,3,
498,3,
499,3,
500,3,
501,3,
502,3,
503,3,
504,3,
505,3,
506,3,
507,3,
508,3,
509,3,
510,3,
511,3,
512,3,
513,3,
514,3,
515,3,
516,3,
517,3,
518,3,
519,3,
520,3,
521,3,
522,3,
523,3,
524,3,
525,3,
526,3,
527,3,
528,3,
529,3,
530,3,
531,3,
532,3,
533,3,
534,3,
535,3,
536,3,
537,3,
538,3,
539,3,
540,3,
541,3,
542,3,
543,3,
544,3,
545,3,
546,3,
547,2,
548,2,
549,2,
550,2,
551,2,
552,2,
553,2,
554,2,
555,2,
556,2,
557,2,
558,2,
559,2,
560,2,
561,2,
562,2,
563,2,
564,2,
565,2,
566,2,
567,2,
568,2,
569,2,
570,2,
571,2,
572,2,
573,2,
574,2,
575,2,
576,2,
577,2,
578,2,
579,2,
580,2,
581,2,
582,2,
583,2,
584,2,
585,2,
586,2,
587,2,
588,2,
589,2,
590,2,
591,2,
592,2,
593,2,
594,2,
595,2,
596,2,
597,2,
598,2,
599,2,
600,2,
601,2,
602,2,
603,2,
604,2,
605,2,
606,2,
607,2,
